start,start.date.local,start.time.local,study.code,aggregation.seconds,group.name,cage.name,animals.cage.quantity,light.cycle,movement.mean.per_cage.cm_s.hour,wheel_occupancy.mean.per_cage.s.hour,food_occupancy.mean.per_cage.s.hour,water_occupancy.mean.per_cage.s.hour
2024-06-05 17:00:00+00:00,2024-06-05,12:00:00,GEN3Bridge,3600,Vehicle,A1,3,Light,4.830275909778849,0.0,0.0,0.5078687119955777
2024-06-05 17:00:00+00:00,2024-06-05,12:00:00,GEN3Bridge,3600,Vehicle,B1,3,Light,3.296832511528735,0.0,0.0,0.25389137645107795
2024-06-05 17:00:00+00:00,2024-06-05,12:00:00,GEN3Bridge,3600,Vehicle,C2,3,Light,3.4847214289737867,0.0,0.0,0.9514086511885019
2024-06-05 17:00:00+00:00,2024-06-05,12:00:00,GEN3Bridge,3600,Vehicle,C3,3,Light,2.2537039875901135,0.0,0.0,0.37461622443338866
2024-06-05 17:00:00+00:00,2024-06-05,12:00:00,GEN3Bridge,3600,Caffeine 16 mpk,C1,3,Light,3.322696936373715,0.0,0.0,0.19418974571586511
2024-06-05 17:00:00+00:00,2024-06-05,12:00:00,GEN3Bridge,3600,Caffeine 16 mpk,A2,3,Light,2.90637841727848,0.0,0.0,0.32580776672194584
2024-06-05 17:00:00+00:00,2024-06-05,12:00:00,GEN3Bridge,3600,Caffeine 16 mpk,A3,3,Light,3.409167071043498,0.0,0.0,0.25513239358761747
2024-06-05 17:00:00+00:00,2024-06-05,12:00:00,GEN3Bridge,3600,Caffeine 16 mpk,B3,3,Light,2.8781942221960164,0.0,0.0,1.0317314814814815
2024-06-05 18:00:00+00:00,2024-06-05,13:00:00,GEN3Bridge,3600,Vehicle,A1,3,Light,3.7726755748007044,0.0,0.0,0.24273106688778331
2024-06-05 18:00:00+00:00,2024-06-05,13:00:00,GEN3Bridge,3600,Vehicle,B1,3,Light,1.093243280419614,0.0,0.0,0.22487700386954118
2024-06-05 18:00:00+00:00,2024-06-05,13:00:00,GEN3Bridge,3600,Vehicle,C2,3,Light,2.924653421020309,0.0,0.0,0.6553888888888889
2024-06-05 18:00:00+00:00,2024-06-05,13:00:00,GEN3Bridge,3600,Vehicle,C3,3,Light,3.044577505903947,0.0,0.0,0.5229358761746822
2024-06-05 18:00:00+00:00,2024-06-05,13:00:00,GEN3Bridge,3600,Caffeine 16 mpk,C1,3,Light,2.3365990627638356,0.0,0.0,0.15197885572139305
2024-06-05 18:00:00+00:00,2024-06-05,13:00:00,GEN3Bridge,3600,Caffeine 16 mpk,A2,3,Light,3.67621606704606,0.0,0.0,0.11608540630182422
2024-06-05 18:00:00+00:00,2024-06-05,13:00:00,GEN3Bridge,3600,Caffeine 16 mpk,A3,3,Light,4.683539636315912,0.0,0.0,0.3675901050304035
2024-06-05 18:00:00+00:00,2024-06-05,13:00:00,GEN3Bridge,3600,Caffeine 16 mpk,B3,3,Light,3.5492935394873357,0.0,0.0,1.0797529021558872
2024-06-05 19:00:00+00:00,2024-06-05,14:00:00,GEN3Bridge,3600,Vehicle,A1,3,Light,4.718336160681336,0.0,0.0,0.43587631288004425
2024-06-05 19:00:00+00:00,2024-06-05,14:00:00,GEN3Bridge,3600,Vehicle,B1,3,Light,2.709804020756494,0.0,0.0,0.49687465450525153
2024-06-05 19:00:00+00:00,2024-06-05,14:00:00,GEN3Bridge,3600,Vehicle,C2,3,Light,4.318684876049138,0.0,0.0,0.910281370923162
2024-06-05 19:00:00+00:00,2024-06-05,14:00:00,GEN3Bridge,3600,Vehicle,C3,3,Light,2.175498772073984,0.0,0.0,0.5143789386401326
2024-06-05 19:00:00+00:00,2024-06-05,14:00:00,GEN3Bridge,3600,Caffeine 16 mpk,C1,3,Light,3.368559533546873,0.0,0.0,0.3143239358761747
2024-06-05 19:00:00+00:00,2024-06-05,14:00:00,GEN3Bridge,3600,Caffeine 16 mpk,A2,3,Light,1.8686131631576717,0.0,0.0,0.041077529021558874
2024-06-05 19:00:00+00:00,2024-06-05,14:00:00,GEN3Bridge,3600,Caffeine 16 mpk,A3,3,Light,4.159830450032896,0.0,0.0,0.42356592039800994
2024-06-05 19:00:00+00:00,2024-06-05,14:00:00,GEN3Bridge,3600,Caffeine 16 mpk,B3,3,Light,4.58313909564781,0.0,0.0,1.002826561636263
2024-06-05 20:00:00+00:00,2024-06-05,15:00:00,GEN3Bridge,3600,Vehicle,A1,3,Light,4.01924046452887,0.0,0.0,0.18419250967385295
2024-06-05 20:00:00+00:00,2024-06-05,15:00:00,GEN3Bridge,3600,Vehicle,B1,3,Light,4.0384649468073075,0.0,0.0,0.44116182974018797
2024-06-05 20:00:00+00:00,2024-06-05,15:00:00,GEN3Bridge,3600,Vehicle,C2,3,Light,3.790314376350272,0.0,0.0,0.912581122166943
2024-06-05 20:00:00+00:00,2024-06-05,15:00:00,GEN3Bridge,3600,Vehicle,C3,3,Light,4.91236650844685,0.0,0.0,0.8461333609729133
2024-06-05 20:00:00+00:00,2024-06-05,15:00:00,GEN3Bridge,3600,Caffeine 16 mpk,C1,3,Light,4.0865721175002525,0.0,0.0,0.19818629076838032
2024-06-05 20:00:00+00:00,2024-06-05,15:00:00,GEN3Bridge,3600,Caffeine 16 mpk,A2,3,Light,2.1179258547821225,0.0,0.0,0.08986000552791597
2024-06-05 20:00:00+00:00,2024-06-05,15:00:00,GEN3Bridge,3600,Caffeine 16 mpk,A3,3,Light,3.0677624721944334,0.0,0.0,0.37882808181315647
2024-06-05 20:00:00+00:00,2024-06-05,15:00:00,GEN3Bridge,3600,Caffeine 16 mpk,B3,3,Light,3.7649897016420697,0.0,0.0,1.1036030956329463
2024-06-05 21:00:00+00:00,2024-06-05,16:00:00,GEN3Bridge,3600,Vehicle,A1,3,Light,2.815460743941094,0.0,0.0,0.015629353233830846
2024-06-05 21:00:00+00:00,2024-06-05,16:00:00,GEN3Bridge,3600,Vehicle,B1,3,Light,4.434077234921221,0.0,0.0,0.6032743228302929
2024-06-05 21:00:00+00:00,2024-06-05,16:00:00,GEN3Bridge,3600,Vehicle,C2,3,Light,4.148844490693126,0.0,0.0,0.8429011885019347
2024-06-05 21:00:00+00:00,2024-06-05,16:00:00,GEN3Bridge,3600,Vehicle,C3,3,Light,3.503495497973955,0.0,0.0,0.43394969596462135
2024-06-05 21:00:00+00:00,2024-06-05,16:00:00,GEN3Bridge,3600,Caffeine 16 mpk,C1,3,Light,2.6343847127061273,0.0,0.0,0.13530873410724156
2024-06-05 21:00:00+00:00,2024-06-05,16:00:00,GEN3Bridge,3600,Caffeine 16 mpk,A2,3,Light,4.90294429821928,0.0,0.0,0.41677971254836926
2024-06-05 21:00:00+00:00,2024-06-05,16:00:00,GEN3Bridge,3600,Caffeine 16 mpk,A3,3,Light,0.829533543501606,0.0,0.0,0.09011111111111111
2024-06-05 21:00:00+00:00,2024-06-05,16:00:00,GEN3Bridge,3600,Caffeine 16 mpk,B3,3,Light,3.1828181533879856,0.0,0.0,0.998694997236042
2024-06-05 22:00:00+00:00,2024-06-05,17:00:00,GEN3Bridge,3600,Vehicle,A1,3,Light,3.6765422501945775,0.0,0.0,0.06009729132117192
2024-06-05 22:00:00+00:00,2024-06-05,17:00:00,GEN3Bridge,3600,Vehicle,B1,3,Light,2.3297423977571468,0.0,0.0,0.07719665561083472
2024-06-05 22:00:00+00:00,2024-06-05,17:00:00,GEN3Bridge,3600,Vehicle,C2,3,Light,3.996297216695654,0.0,0.0,0.8532671365395247
2024-06-05 22:00:00+00:00,2024-06-05,17:00:00,GEN3Bridge,3600,Vehicle,C3,3,Light,2.222097921995942,0.0,0.0,0.4585942509673853
2024-06-05 22:00:00+00:00,2024-06-05,17:00:00,GEN3Bridge,3600,Caffeine 16 mpk,C1,3,Light,3.965836393175998,0.0,0.0,0.2565529297954671
2024-06-05 22:00:00+00:00,2024-06-05,17:00:00,GEN3Bridge,3600,Caffeine 16 mpk,A2,3,Light,2.2978160720897476,0.0,0.0,0.12324074074074073
2024-06-05 22:00:00+00:00,2024-06-05,17:00:00,GEN3Bridge,3600,Caffeine 16 mpk,A3,3,Light,6.02154118196617,0.0,0.0,0.3187107517965727
2024-06-05 22:00:00+00:00,2024-06-05,17:00:00,GEN3Bridge,3600,Caffeine 16 mpk,B3,3,Light,3.6158826559682833,0.0,0.0,0.7272564953012713
2024-06-05 23:00:00+00:00,2024-06-05,18:00:00,GEN3Bridge,3600,Vehicle,A1,3,Dark,7.600649406802633,0.0,0.0,0.8294946102819236
2024-06-05 23:00:00+00:00,2024-06-05,18:00:00,GEN3Bridge,3600,Vehicle,B1,3,Dark,7.470808336659221,0.0,0.0,0.8301386124930901
2024-06-05 23:00:00+00:00,2024-06-05,18:00:00,GEN3Bridge,3600,Vehicle,C2,3,Dark,5.4884057890562366,0.0,0.0,1.0399508015478163
2024-06-05 23:00:00+00:00,2024-06-05,18:00:00,GEN3Bridge,3600,Vehicle,C3,3,Dark,6.564157743551579,0.0,0.0,0.7921962410171366
2024-06-05 23:00:00+00:00,2024-06-05,18:00:00,GEN3Bridge,3600,Caffeine 16 mpk,C1,3,Dark,5.874727366655835,0.0,0.0,0.4161983139856274
2024-06-05 23:00:00+00:00,2024-06-05,18:00:00,GEN3Bridge,3600,Caffeine 16 mpk,A2,3,Dark,8.994038675523383,0.0,0.0,0.7929147318960752
2024-06-05 23:00:00+00:00,2024-06-05,18:00:00,GEN3Bridge,3600,Caffeine 16 mpk,A3,3,Dark,7.003173050638245,0.0,0.0,0.7665438087341073
2024-06-05 23:00:00+00:00,2024-06-05,18:00:00,GEN3Bridge,3600,Caffeine 16 mpk,B3,3,Dark,6.324189141405644,0.0,0.0,1.0821507739082368
2024-06-06 00:00:00+00:00,2024-06-05,19:00:00,GEN3Bridge,3600,Vehicle,A1,3,Dark,6.820283777213179,0.0,0.0,0.8994589552238805
2024-06-06 00:00:00+00:00,2024-06-05,19:00:00,GEN3Bridge,3600,Vehicle,B1,3,Dark,5.8857539651388535,0.0,0.0,0.7107226368159204
